iso_code,continent,location,date,Cases,Deaths x50,new_deaths_smoothed_per_million
GBR,Europe,United Kingdom,2020-01-31,,0,
GBR,Europe,United Kingdom,2020-02-01,,0,
GBR,Europe,United Kingdom,2020-02-02,,0,
GBR,Europe,United Kingdom,2020-02-03,,0,
GBR,Europe,United Kingdom,2020-02-04,,0,
GBR,Europe,United Kingdom,2020-02-05,0.019,0.0,0.0
GBR,Europe,United Kingdom,2020-02-06,0.019,0.0,0.0
GBR,Europe,United Kingdom,2020-02-07,0.015,0.0,0.0
GBR,Europe,United Kingdom,2020-02-08,0.023,0.0,0.0
GBR,Europe,United Kingdom,2020-02-09,0.025,0.0,0.0
GBR,Europe,United Kingdom,2020-02-10,0.013,0.0,0.0
GBR,Europe,United Kingdom,2020-02-11,0.015,0.0,0.0
GBR,Europe,United Kingdom,2020-02-12,0.015,0.0,0.0
GBR,Europe,United Kingdom,2020-02-13,0.017,0.0,0.0
GBR,Europe,United Kingdom,2020-02-14,0.019,0.0,0.0
GBR,Europe,United Kingdom,2020-02-15,0.01,0.0,0.0
GBR,Europe,United Kingdom,2020-02-16,0.008,0.0,0.0
GBR,Europe,United Kingdom,2020-02-17,0.01,0.0,0.0
GBR,Europe,United Kingdom,2020-02-18,0.008,0.0,0.0
GBR,Europe,United Kingdom,2020-02-19,0.008,0.0,0.0
GBR,Europe,United Kingdom,2020-02-20,0.01,0.0,0.0
GBR,Europe,United Kingdom,2020-02-21,0.01,0.0,0.0
GBR,Europe,United Kingdom,2020-02-22,0.01,0.0,0.0
GBR,Europe,United Kingdom,2020-02-23,0.021,0.0,0.0
GBR,Europe,United Kingdom,2020-02-24,0.023,0.0,0.0
GBR,Europe,United Kingdom,2020-02-25,0.031,0.0,0.0
GBR,Europe,United Kingdom,2020-02-26,0.036,0.0,0.0
GBR,Europe,United Kingdom,2020-02-27,0.046,0.0,0.0
GBR,Europe,United Kingdom,2020-02-28,0.069,0.0,0.0
GBR,Europe,United Kingdom,2020-02-29,0.08,0.0,0.0
GBR,Europe,United Kingdom,2020-03-01,0.138,0.0,0.0
GBR,Europe,United Kingdom,2020-03-02,0.218,0.0,0.0
GBR,Europe,United Kingdom,2020-03-03,0.325,0.0,0.0
GBR,Europe,United Kingdom,2020-03-04,0.438,0.0,0.0
GBR,Europe,United Kingdom,2020-03-05,0.526,0.0,0.0
GBR,Europe,United Kingdom,2020-03-06,0.666,0.100,0.002
